scorer,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000
bodyparts,left antennae,left antennae,left antennae,right antennae,right antennae,right antennae,Base of antennae,Base of antennae,Base of antennae,left wing hinge,left wing hinge,left wing hinge,right wing hinge,right wing hinge,right wing hinge,sting,sting,sting,Petiole,Petiole,Petiole
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,177.3601837158203,101.53118133544922,0.011898010969161987,164.20697021484375,144.02395629882812,0.3891638517379761,161.17474365234375,105.66292572021484,0.7321963310241699,131.13992309570312,82.14971923828125,0.9948950409889221,117.546875,124.30667114257812,0.9996007680892944,28.608518600463867,53.706787109375,1.0,105.90412139892578,88.78328704833984,0.9999465942382812
1,186.81207275390625,107.51770782470703,0.3553556203842163,166.50094604492188,146.3289031982422,0.9986803531646729,158.0810089111328,113.99562072753906,0.9957797527313232,132.2625274658203,83.69342041015625,0.9990849494934082,112.55683898925781,124.78630828857422,0.9999109506607056,25.79871940612793,57.82363510131836,1.0,102.91358184814453,90.80304718017578,0.9999935626983643
2,137.74835205078125,147.70318603515625,0.629610538482666,7.48276424407959,66.8828353881836,0.00023993849754333496,152.23004150390625,95.84082794189453,0.0017452239990234375,126.3666763305664,76.56483459472656,0.9976183176040649,112.91046142578125,115.11932373046875,0.9112799167633057,19.320598602294922,67.99577331542969,1.0,102.8506088256836,90.73892974853516,0.9998085498809814
3,131.20375061035156,155.7788543701172,0.9312748908996582,8.383234024047852,68.03294372558594,0.00026547908782958984,160.9628143310547,104.0919189453125,0.0006625056266784668,123.9088134765625,81.45497131347656,0.9957565069198608,120.58084106445312,118.97201538085938,0.899145245552063,20.468196868896484,70.36153411865234,1.0,101.79396057128906,93.74833679199219,0.9998142719268799
4,119.9643783569336,163.08395385742188,0.008922398090362549,183.3140869140625,120.60589599609375,0.005097150802612305,151.09324645996094,100.04472351074219,0.0031957030296325684,121.94600677490234,78.7947006225586,0.9954731464385986,121.13201904296875,124.68296813964844,0.9999977350234985,13.494535446166992,83.1084976196289,1.0,97.27774047851562,100.2181396484375,0.9999996423721313
5,125.18074035644531,163.35267639160156,0.020121604204177856,171.32313537597656,111.28002166748047,0.00016430020332336426,154.7342071533203,97.83251953125,0.12800371646881104,121.18186950683594,75.88658142089844,0.9999370574951172,121.86320495605469,123.16226196289062,0.9999980926513672,15.235513687133789,83.27425384521484,1.0,97.29583740234375,97.51293182373047,0.9999993443489075
6,116.18193817138672,158.95030212402344,0.0649023950099945,7.274652481079102,73.95057678222656,0.0005206465721130371,154.2902069091797,97.5230484008789,0.05854120850563049,121.76627349853516,72.77793884277344,0.99981689453125,121.6269302368164,121.221923828125,0.9999912977218628,14.396815299987793,77.23865509033203,1.0,97.87477111816406,95.12225341796875,0.999997615814209
7,171.6151123046875,94.89104461669922,0.0019197165966033936,133.59645080566406,158.7144012451172,0.0004309713840484619,154.51742553710938,100.15461730957031,0.06000488996505737,124.03733825683594,78.78056335449219,0.999997079372406,119.6663818359375,123.11284637451172,0.9999973773956299,17.660324096679688,73.43192291259766,1.0,98.4837417602539,96.9863510131836,0.9999990463256836
8,113.8111801147461,153.68495178222656,0.0031557083129882812,170.428466796875,111.92689514160156,0.005471765995025635,155.5641326904297,93.97093200683594,0.5904265642166138,123.8860855102539,75.02117156982422,0.9999880194664001,117.77845001220703,120.18765258789062,0.9999936819076538,16.413848876953125,66.22650146484375,1.0,97.72065734863281,93.4241943359375,0.9999123811721802
9,171.82052612304688,84.2765884399414,0.0025128722190856934,170.23291015625,117.06279754638672,0.012890607118606567,157.04261779785156,93.73098754882812,0.7995520234107971,122.87957763671875,74.66791534423828,0.999997615814209,118.96107482910156,120.43093872070312,0.9999927282333374,13.775697708129883,76.89108276367188,0.9999994039535522,96.79772186279297,95.6028060913086,0.9999982714653015
10,168.74134826660156,79.4767837524414,0.0025820136070251465,175.6141815185547,127.30867767333984,0.982241153717041,157.3410186767578,94.32931518554688,0.9723856449127197,124.64453887939453,71.98273468017578,0.9999641180038452,119.14697265625,119.8937759399414,0.9999663829803467,15.53133773803711,77.5553207397461,1.0,97.24006652832031,96.17888641357422,0.9999858140945435
